date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:20:24	5537/5537	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Jan%202020%2004:40:38%20GMT	https://www.arialengineering.com/pictures/residential.png	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/residential.png	(from https://www.arialengineering.com/)
12:20:24	5441/5441	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Jan%202020%2004:40:25%20GMT	https://www.arialengineering.com/pictures/commercial.png	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/commercial.png	(from https://www.arialengineering.com/)
12:20:24	5740/5740	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Jan%202020%2004:40:30%20GMT	https://www.arialengineering.com/pictures/industrial.png	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/industrial.png	(from https://www.arialengineering.com/)
12:20:25	32141/32141	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2011:25:22%20GMT	https://www.arialengineering.com/pictures/hospitals.jpg	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/hospitals.jpg	(from https://www.arialengineering.com/)
12:20:25	5624/5624	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Jan%202020%2004:40:34%20GMT	https://www.arialengineering.com/pictures/it.png	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/it.png	(from https://www.arialengineering.com/)
12:20:26	5330/5330	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Jan%202020%2004:40:43%20GMT	https://www.arialengineering.com/pictures/retail.png	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/retail.png	(from https://www.arialengineering.com/)
12:20:26	2305/2305	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Dec%202019%2007:31:08%20GMT	https://www.sensalite.in/favicon.png	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/spinner.png	(from https://www.arialengineering.com/)
12:20:27	984/984	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Aug%202019%2015:36:50%20GMT	https://www.arialengineering.com/pictures/sales.png	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/sales.png	(from https://www.arialengineering.com/)
12:20:27	2240/2240	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Aug%202019%2015:36:28%20GMT	https://www.arialengineering.com/pictures/planning.png	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/planning.png	(from https://www.arialengineering.com/)
12:20:27	2625/2625	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Aug%202019%2015:36:22%20GMT	https://www.arialengineering.com/pictures/design.png	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/design.png	(from https://www.arialengineering.com/)
12:20:28	1365/1365	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Aug%202019%2015:36:42%20GMT	https://www.arialengineering.com/pictures/projectex.png	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/projectex.png	(from https://www.arialengineering.com/)
12:20:28	1447/1447	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Aug%202019%2015:37:32%20GMT	https://www.arialengineering.com/pictures/servicehome.png	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/servicehome.png	(from https://www.arialengineering.com/)
12:20:28	3352/3352	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Feb%202020%2012:34:09%20GMT	https://www.arialengineering.com/pictures/support.png	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/support.png	(from https://www.arialengineering.com/)
12:20:29	18941/18941	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Nov%202019%2012:43:59%20GMT	https://www.arialengineering.com/pictures/products/vrf1.jpg	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/products/vrf1.jpg	(from https://www.arialengineering.com/)
12:20:30	32453/32453	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Nov%202019%2012:41:41%20GMT	https://www.arialengineering.com/pictures/products/chiller1.jpg	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/products/chiller1.jpg	(from https://www.arialengineering.com/)
12:20:30	12783/12783	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Nov%202019%2012:43:42%20GMT	https://www.arialengineering.com/pictures/products/vent1.jpg	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/products/vent1.jpg	(from https://www.arialengineering.com/)
12:20:31	61182/61182	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Nov%202019%2005:58:15%20GMT	https://www.arialengineering.com/pictures/products/ahu1.png	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/products/ahu1.png	(from https://www.arialengineering.com/)
12:20:32	28862/28862	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Nov%202019%2012:43:24%20GMT	https://www.arialengineering.com/pictures/products/split1.jpg	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/products/split1.jpg	(from https://www.arialengineering.com/)
12:20:33	23650/23650	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Nov%202019%2012:42:26%20GMT	https://www.arialengineering.com/pictures/products/duct1.jpg	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/products/duct1.jpg	(from https://www.arialengineering.com/)
12:20:33	19198/19198	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Nov%202019%2012:41:28%20GMT	https://www.arialengineering.com/pictures/products/cassette1.jpg	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/products/cassette1.jpg	(from https://www.arialengineering.com/)
12:20:34	23327/23327	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Nov%202019%2012:41:56%20GMT	https://www.arialengineering.com/pictures/products/diffuser1.jpg	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/products/diffuser1.jpg	(from https://www.arialengineering.com/)
12:20:34	25359/25359	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Nov%202019%2012:44:01%20GMT	https://www.arialengineering.com/pictures/products/vrf2.jpg	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/products/vrf2.jpg	(from https://www.arialengineering.com/)
12:20:35	31671/31671	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Nov%202019%2012:41:44%20GMT	https://www.arialengineering.com/pictures/products/chiller2.jpg	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/products/chiller2.jpg	(from https://www.arialengineering.com/)
12:20:35	25240/25240	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Nov%202019%2012:43:44%20GMT	https://www.arialengineering.com/pictures/products/vent2.jpg	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/products/vent2.jpg	(from https://www.arialengineering.com/)
12:20:36	56670/56670	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Nov%202019%2005:59:21%20GMT	https://www.arialengineering.com/pictures/products/ahu2.png	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/products/ahu2.png	(from https://www.arialengineering.com/)
12:20:36	29551/29551	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Nov%202019%2012:43:29%20GMT	https://www.arialengineering.com/pictures/products/split2.jpg	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/products/split2.jpg	(from https://www.arialengineering.com/)
12:20:37	21695/21695	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Nov%202019%2012:42:30%20GMT	https://www.arialengineering.com/pictures/products/duct2.jpg	C:/My%20Web%20Sites/arial/www.arialengineering.com/pictures/products/duct2.jpg	(from https://www.arialengineering.com/)
